title,category,price_gbp,rating,in_stock,price_inr
A Light in the Attic,Poetry,51.77,3,True,5461.74
Tipping the Velvet,Historical Fiction,53.74,1,True,5669.57
Soumission,Fiction,50.1,1,True,5285.55
Sharp Objects,Mystery,47.82,4,True,5045.01
Sapiens: A Brief History of Humankind,History,54.23,5,True,5721.26
The Requiem Red,Young Adult,22.65,1,True,2389.57
The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,4,True,3517.37
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,3,True,1891.62
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,4,True,2384.3
The Black Maria,Poetry,52.15,1,True,5501.82
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,2,True,1475.94
Shakespeare's Sonnets,Poetry,20.66,4,True,2179.63
Set Me Free,Young Adult,17.46,5,True,1842.03
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5,True,5516.6
Rip it Up and Start Again,Music,35.02,5,True,3694.61
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,3,True,6039.88
Olio,Poetry,23.88,1,True,2519.34
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,1,True,3965.75
Libertarianism for Beginners,Politics,51.33,2,True,5415.32
It's Only the Himalayas,Travel,45.17,2,True,4765.44
In Her Wake,Thriller,12.84,1,True,1354.62
How Music Works,Music,37.32,2,True,3937.26
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,30.52,3,True,3219.86
Chase Me (Paris Nights #2),Romance,25.27,5,True,2665.98
Black Dust,Romance,34.53,5,True,3642.92
Birdsong: A Story in Pictures,Childrens,54.64,3,True,5764.52
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,22.5,3,True,2373.75
Aladdin and His Wonderful Lamp,Default,53.13,3,True,5605.22
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,40.3,5,True,4251.65
Wall and Piece,Art,44.18,4,True,4660.99
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,17.66,5,True,1863.13
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,3,True,3275.78
The Elephant Tree,Thriller,23.82,5,True,2513.01
The Bear and the Piano,Childrens,36.89,1,True,3891.9
Sophie's World,Philosophy,15.94,5,True,1681.67
Penny Maybe,Default,33.29,3,True,3512.1
Maude (1883-1993):She Grew Up with the country,Default,18.02,2,True,1901.11
"In a Dark, Dark Wood",Mystery,19.63,1,True,2070.96
Behind Closed Doors,Thriller,52.22,4,True,5509.21
You can't bury them all: Poems,Poetry,33.63,2,True,3547.96
Slow States of Collapse: Poems,Poetry,57.31,3,True,6046.2
Reasons to Stay Alive,Nonfiction,26.41,2,True,2786.26
Private Paris (Private #10),Fiction,47.61,5,True,5022.85
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,5,True,2438.1
Without Borders (Wanderlove #1),New Adult,45.07,2,True,4754.88
When We Collided,Contemporary,31.77,1,True,3351.74
"We Love You, Charlie Freeman",Fiction,50.27,5,True,5303.48
Untitled Collection: Sabbath Poems 2014,Poetry,14.27,4,True,1505.48
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,4,True,4660.99
Unicorn Tracks,Fantasy,18.78,3,True,1981.29
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,25.52,1,True,2692.36
