title,rating,category_name
Sapiens: A Brief History of Humankind,5,History
Set Me Free,5,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,Sequential Art
Rip it Up and Start Again,5,Music
Chase Me (Paris Nights #2),5,Romance
Black Dust,5,Romance
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,Nonfiction
The Four Agreements: A Practical Guide to Personal Freedom,5,Spirituality
The Elephant Tree,5,Thriller
Sophie's World,5,Philosophy
Private Paris (Private #10),5,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,Nonfiction
"We Love You, Charlie Freeman",5,Fiction
Thirst,5,Fiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,Default
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,Spirituality
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),5,Fantasy
Join,5,Science Fiction
Sharp Objects,4,Mystery
The Dirty Little Secrets of Getting Your Dream Job,4,Business
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,Default
Shakespeare's Sonnets,4,Poetry
Wall and Piece,4,Art
Behind Closed Doors,4,Thriller
Untitled Collection: Sabbath Poems 2014,4,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,Nonfiction
This One Summer,4,Sequential Art
The Past Never Ends,4,Mystery
The Nameless City (The Nameless City #1),4,Sequential Art
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,Add a comment
The Death of Humanity: and the Case for Life,4,Philosophy
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,Nonfiction
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,Sequential Art
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,Food and Drink
In the Country We Love: My Family Divided,4,Nonfiction
A Light in the Attic,3,Poetry
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,Default
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,Food and Drink
Birdsong: A Story in Pictures,3,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,Default
